state,name,uf,inserted_at,updated_at
Rio Grande do Norte,Passa e Fica,RN,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Tocantins,Pugmil,TO,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Presidente Epitacio,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Tocantins,Ponte Alta do Bom Jesus,TO,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Santa Rita do Passa Quatro,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio Grande do Sul,Coronel Barros,RS,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Mato Grosso,Claudia,MT,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Maranhao,Paraibano,MA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Tremembe,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Piaui,Colonia do Gurgueia,PI,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Tocantins,Palmeiropolis,TO,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Ceara,Baixio,CE,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Alagoas,Sao Luis do Quitunde,AL,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Bahia,Paulo Afonso,BA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Piaui,Beneditinos,PI,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Parana,Fenix,PR,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Tocantins,Marianopolis do Tocantins,TO,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio Grande do Sul,Sao Valentim,RS,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Maranhao,Primeira Cruz,MA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio Grande do Sul,Silveira Martins,RS,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio Grande do Sul,Lindolfo Collor,RS,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Ibiai,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Espirito Santo,Sao Domingos do Norte,ES,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Parana,Jundiai do Sul,PR,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Bahia,Valenca,BA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Lins,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Pitangui,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Sao Vicente,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Goias,Arenopolis,GO,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Maranhao,Sao Felix de Balsas,MA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
